,,,Dufferin (Census division),,,,,,Ontario (Province)
Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwelling counts,Population in 2011,1,   56881,,,...,,...,12851821,+,,...,,...
Population and dwelling counts,Population in 2006,1,   54436,,,...,,...,12160282,+,,...,,...
Population and dwelling counts,2006 to 2011 population change (%),,      4.5,,,...,,...,      5.7,,,...,,...
Population and dwelling counts,Total private dwellings,2,   21257,,,...,,..., 5308785,,,...,,...
Population and dwelling counts,Private dwellings occupied by usual residents,3,   20073,,,...,,..., 4887508,,,...,,...
Population and dwelling counts,Population density per square kilometre,,   38.3,,,...,,...,   14.1,,,...,,...
Population and dwelling counts,Land area (square km),,   1486.31,,,...,,..., 908607.67,,,...,,...
Age characteristics,Total population by age groups,4,   56880,,   28110,,   28775,,12851820,, 6263140,, 6588685,
Age characteristics,   0 to 4 years,,    3220,,    1610,,    1605,,  704260,,  360590,,  343670,
Age characteristics,   5 to 9 years,,    3480,,    1685,,    1790,,  712755,,  365290,,  347465,
Age characteristics,   10 to 14 years,,    4110,,    2130,,    1980,,  763755,,  391630,,  372125,
Age characteristics,   15 to 19 years,,    4635,,    2395,,    2235,,  863635,,  443680,,  419950,
Age characteristics,      15 years,,     985,,     510,,     475,,  168840,,   86700,,   82140,
Age characteristics,      16 years,,     950,,     500,,     450,,  172840,,   89195,,   83645,
Age characteristics,      17 years,,     905,,     470,,     435,,  171405,,   88230,,   83170,
Age characteristics,      18 years,,     935,,     525,,     415,,  173930,,   89225,,   84705,
Age characteristics,      19 years,,     855,,     395,,     460,,  176620,,   90330,,   86290,
Age characteristics,   20 to 24 years,,    3500,,    1845,,    1655,,  852910,,  432490,,  420415,
Age characteristics,   25 to 29 years,,    2765,,    1425,,    1335,,  815120,,  400045,,  415075,
Age characteristics,   30 to 34 years,,    3080,,    1505,,    1575,,  800365,,  383340,,  417030,
Age characteristics,   35 to 39 years,,    3685,,    1755,,    1930,,  844335,,  405845,,  438485,
Age characteristics,   40 to 44 years,,    4450,,    2180,,    2270,,  924075,,  447920,,  476155,
Age characteristics,   45 to 49 years,,    5325,,    2600,,    2720,, 1055880,,  517510,,  538370,
Age characteristics,   50 to 54 years,,    4570,,    2290,,    2280,, 1006140,,  492560,,  513580,
Age characteristics,   55 to 59 years,,    3670,,    1815,,    1855,,  864620,,  418755,,  445865,
Age characteristics,   60 to 64 years,,    3290,,    1605,,    1680,,  765655,,  370370,,  395275,
Age characteristics,   65 to 69 years,,    2330,,    1155,,    1180,,  563485,,  270875,,  292610,
Age characteristics,   70 to 74 years,,    1645,,     790,,     855,,  440780,,  206350,,  234435,
Age characteristics,   75 to 79 years,,    1305,,     640,,     665,,  356150,,  161345,,  194805,
Age characteristics,   80 to 84 years,,     960,,     395,,     565,,  271510,,  113620,,  157890,
Age characteristics,   85 years and over,,     860,,     265,,     595,,  246400,,   80925,,  165475,
Age characteristics,Median age of the population,5,   40.0,,   39.1,,   40.6,,   40.4,,   39.4,,   41.3,
Age characteristics,% of the population aged 15 and over,,   81.0,,   80.7,,   81.3,,   83.0,,   82.2,,   83.9,
Marital status,Total population 15 years and over by marital status,6,   46070,,   22680,,   23390,,10671050,, 5145630,, 5525420,
Marital status,   Married or living with a common-law partner,,   28230,,   14105,,   14130,, 6158605,, 3078940,, 3079665,
Marital status,      Married (and not separated),,   23975,,   11985,,   11990,, 5367400,, 2681320,, 2686075,
Marital status,      Living common law,,    4255,,    2120,,    2135,,  791210,,  397620,,  393590,
Marital status,   Not married and not living with a common-law partner,,   17835,,    8575,,    9265,, 4512440,, 2066690,, 2445750,
Marital status,      Single (never legally married),,   11695,,    6520,,    5170,, 2985020,, 1583760,, 1401260,
Marital status,      Separated,,    1420,,     605,,     815,,  319805,,  133790,,  186015,
Marital status,      Divorced,,    2365,,     945,,    1420,,  593730,,  231160,,  362570,
Marital status,      Widowed,,    2355,,     505,,    1855,,  613880,,  117980,,  495905,
Family characteristics,Total number of census families in private households,7,   16375,,,...,,..., 3612200,,,...,,...
Family characteristics,   Size of census family: 2 persons,,    7150,,,...,,..., 1686655,,,...,,...
Family characteristics,   Size of census family: 3 persons,,    3585,,,...,,...,  812960,,,...,,...
Family characteristics,   Size of census family: 4 persons,,    3925,,,...,,...,  783500,,,...,,...
Family characteristics,   Size of census family: 5 or more persons,,    1715,,,...,,...,  329085,,,...,,...
Family characteristics,Total number of census families in private households,8,   16375,,,...,,..., 3612205,,,...,,...
Family characteristics,   Total couple families by family structure and number of children,,   13945,,,...,,..., 3007560,,,...,,...
Family characteristics,      Married couples,,   11820,,,...,,..., 2612895,,,...,,...
Family characteristics,         Without children at home,,    4735,,,...,,..., 1090740,,,...,,...
Family characteristics,         With children at home,,    7080,,,...,,..., 1522150,,,...,,...
Family characteristics,            1 child,,    2315,,,...,,...,  559155,,,...,,...
Family characteristics,            2 children,,    3295,,,...,,...,  676880,,,...,,...
Family characteristics,            3 or more children,,    1475,,,...,,...,  286110,,,...,,...
Family characteristics,      Common-law couples,,    2125,,,...,,...,  394670,,,...,,...
Family characteristics,         Without children at home,,    1095,,,...,,...,  236010,,,...,,...
Family characteristics,         With children at home,,    1030,,,...,,...,  158660,,,...,,...
Family characteristics,            1 child,,     430,,,...,,...,   77160,,,...,,...
Family characteristics,            2 children,,     425,,,...,,...,   55605,,,...,,...
Family characteristics,            3 or more children,,     180,,,...,,...,   25890,,,...,,...
Family characteristics,   Total lone-parent families by sex of parent and number of children,,    2430,,,...,,...,  604645,,,...,,...
Family characteristics,      Female parent,,    1820,,,...,,...,  486470,,,...,,...
Family characteristics,         1 child,,     955,,,...,,...,  282085,,,...,,...
Family characteristics,         2 children,,     650,,,...,,...,  145375,,,...,,...
Family characteristics,         3 or more children,,     215,,,...,,...,   59015,,,...,,...
Family characteristics,      Male parent,,     610,,,...,,...,  118175,,,...,,...
Family characteristics,         1 child,,     365,,,...,,...,   77820,,,...,,...
Family characteristics,         2 children,,     190,,,...,,...,   31265,,,...,,...
Family characteristics,         3 or more children,,      55,,,...,,...,    9085,,,...,,...
Family characteristics,Total children in census families in private households,,   19575,,,...,,..., 4083925,,,...,,...
Family characteristics,   Under six years of age,,    3840,,,...,,...,  839960,,,...,,...
Family characteristics,   6 to 14 years,,    6905,,,...,,..., 1323750,,,...,,...
Family characteristics,   15 to 17 years,,    2760,,,...,,...,  496005,,,...,,...
Family characteristics,   18 to 24 years,,    4380,,,...,,...,  888985,,,...,,...
Family characteristics,   25 years and over,,    1695,,,...,,...,  535230,,,...,,...
Family characteristics,Average number of children at home per census family,,    1.2,,,...,,...,    1.1,,,...,,...
Household and dwelling characteristics,Total number of persons in private households,,   56085,,   27810,,   28270,,12655130,, 6179005,, 6476125,
Household and dwelling characteristics,   Number of persons not in census families,,    6185,,    2950,,    3235,, 1951440,,  889600,, 1061845,
Household and dwelling characteristics,      Living with relatives,9,    1075,,     440,,     635,,  295100,,  113180,,  181925,
Household and dwelling characteristics,      Living with non-relatives only,,    1385,,     800,,     585,,  425360,,  233900,,  191465,
Household and dwelling characteristics,      Living alone,,    3725,,    1710,,    2015,, 1230980,,  542525,,  688455,
Household and dwelling characteristics,   Number of census family persons,,   49895,,   24860,,   25040,,10703690,, 5289410,, 5414280,
Household and dwelling characteristics,Average number of persons per census family,,    3.0,,,...,,...,    3.0,,,...,,...
Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,    6545,,    3085,,    3460,, 1752725,,  796110,,  956615,
Household and dwelling characteristics,   Number of persons not in census families aged 65 years and over,,    2000,,     575,,    1425,,  563605,,  155405,,  408200,
Household and dwelling characteristics,      Living with relatives,9,     440,,     110,,     335,,  105130,,   22345,,   82785,
Household and dwelling characteristics,      Living with non-relatives only,,     120,,      70,,      50,,   30835,,   14715,,   16125,
Household and dwelling characteristics,      Living alone,,    1435,,     400,,    1040,,  427640,,  118350,,  309290,
Household and dwelling characteristics,   Number of census family persons aged 65 years and over,,    4545,,    2510,,    2040,, 1189120,,  640705,,  548415,
Household and dwelling characteristics,Total number of private households by household type,10,   20075,,,...,,..., 4887510,,,...,,...
Household and dwelling characteristics,   Census-family households,,   15860,,,...,,..., 3475030,,,...,,...
Household and dwelling characteristics,      One-family-only households,11,   14235,,,...,,..., 3103515,,,...,,...
Household and dwelling characteristics,         Couple-family households,12,   12410,,,...,,..., 2642680,,,...,,...
Household and dwelling characteristics,            Without children,,    5120,,,...,,..., 1171505,,,...,,...
